e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z,c_r_w
-0.048,0.616,-0.115,-0.632,0.408,0.345,0.562,-0.108,0.623,0.224,-0.387,0.574,0.593,0.411,-0.036,2.133,-0.034,0.053,0.983,-0.048,-0.168
-0.048,0.616,-0.115,-0.632,0.409,0.344,0.562,-0.108,0.623,0.224,-0.387,0.574,0.593,0.411,-0.028,2.133,-0.038,0.061,0.988,-0.05,-0.133
-0.048,0.616,-0.115,-0.632,0.409,0.344,0.562,-0.108,0.623,0.224,-0.387,0.575,0.593,0.41,-0.023,2.132,-0.04,0.068,0.99,-0.051,-0.114
-0.048,0.616,-0.115,-0.632,0.409,0.344,0.562,-0.108,0.623,0.224,-0.387,0.575,0.593,0.41,-0.02,2.131,-0.042,0.072,0.99,-0.056,-0.107
-0.048,0.616,-0.115,-0.632,0.409,0.344,0.561,-0.108,0.622,0.224,-0.388,0.575,0.593,0.41,-0.018,2.131,-0.044,0.073,0.99,-0.056,-0.103
-0.048,0.616,-0.115,-0.632,0.409,0.344,0.562,-0.108,0.622,0.224,-0.387,0.575,0.593,0.41,-0.016,2.13,-0.045,0.075,0.99,-0.058,-0.102
-0.048,0.616,-0.115,-0.632,0.409,0.344,0.562,-0.108,0.622,0.224,-0.387,0.575,0.593,0.41,-0.016,2.13,-0.046,0.075,0.99,-0.058,-0.1
-0.048,0.616,-0.115,-0.632,0.409,0.344,0.561,-0.108,0.622,0.224,-0.387,0.575,0.593,0.41,-0.016,2.13,-0.046,0.075,0.99,-0.059,-0.099
-0.048,0.616,-0.115,-0.632,0.409,0.344,0.561,-0.108,0.622,0.224,-0.387,0.575,0.593,0.41,-0.016,2.13,-0.045,0.074,0.99,-0.06,-0.1
-0.048,0.616,-0.115,-0.632,0.409,0.344,0.562,-0.108,0.622,0.224,-0.387,0.574,0.593,0.41,-0.017,2.13,-0.045,0.075,0.99,-0.06,-0.099
-0.048,0.616,-0.115,-0.631,0.411,0.345,0.56,-0.109,0.623,0.223,-0.391,0.578,0.593,0.402,-0.017,2.131,-0.046,0.076,0.991,-0.062,-0.094
-0.048,0.615,-0.115,-0.629,0.412,0.346,0.56,-0.114,0.626,0.219,-0.438,0.574,0.59,0.361,-0.015,2.129,-0.048,0.076,0.992,-0.07,-0.075
-0.048,0.615,-0.115,-0.628,0.414,0.346,0.56,-0.134,0.63,0.196,-0.565,0.517,0.56,0.315,-0.013,2.124,-0.047,0.072,0.992,-0.084,-0.054
-0.048,0.615,-0.115,-0.629,0.416,0.347,0.558,-0.169,0.632,0.105,-0.619,0.396,0.437,0.518,-0.015,2.125,-0.046,0.083,0.993,-0.081,-0.029
-0.048,0.615,-0.115,-0.629,0.415,0.347,0.559,-0.172,0.633,0.004,-0.626,0.271,0.311,0.662,-0.025,2.127,-0.045,0.086,0.993,-0.074,-0.012
-0.048,0.616,-0.115,-0.629,0.415,0.346,0.558,-0.144,0.621,-0.012,-0.625,0.252,0.288,0.681,-0.039,2.127,-0.042,0.074,0.995,-0.071,-0.003
-0.048,0.616,-0.115,-0.63,0.413,0.347,0.559,-0.144,0.615,-0.01,-0.649,0.256,0.314,0.644,-0.054,2.134,-0.039,0.056,0.996,-0.065,0.012
