e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z,c_r_w
0.11,0.631,-0.157,-0.862,-0.133,0.0,0.489,-0.122,0.609,0.002,-0.821,0.192,0.068,0.534,-0.186,2.212,-0.24,-0.049,0.998,-0.013,0.023
0.129,0.655,-0.313,-0.758,-0.138,-0.027,0.637,-0.123,0.609,0.002,-0.82,0.193,0.068,0.535,-0.182,2.217,-0.244,-0.041,0.999,0.007,0.021
0.145,0.666,-0.374,-0.729,-0.151,0.01,0.668,-0.122,0.608,0.002,-0.819,0.195,0.067,0.535,-0.164,2.216,-0.261,-0.046,0.999,0.02,0.016
0.153,0.647,-0.317,-0.776,-0.127,0.004,0.618,-0.122,0.609,0.001,-0.82,0.197,0.067,0.533,-0.132,2.216,-0.282,-0.032,0.999,0.013,0.022
0.146,0.624,-0.208,-0.794,-0.126,0.014,0.594,-0.122,0.608,0.0,-0.822,0.199,0.066,0.53,-0.095,2.211,-0.3,-0.035,0.999,-0.008,0.018
0.136,0.615,-0.096,-0.798,-0.106,0.032,0.592,-0.122,0.608,0.0,-0.823,0.197,0.065,0.528,-0.052,2.208,-0.301,-0.024,0.999,-0.028,0.005
0.133,0.611,-0.022,-0.805,-0.111,0.021,0.582,-0.122,0.607,0.0,-0.825,0.196,0.065,0.527,-0.008,2.209,-0.287,-0.023,0.999,-0.024,0.006
0.134,0.61,-0.01,-0.797,-0.128,0.014,0.59,-0.123,0.609,-0.004,-0.853,0.192,0.074,0.479,0.04,2.207,-0.259,-0.016,1.0,-0.018,0.001
0.135,0.608,-0.013,-0.814,-0.122,0.011,0.568,-0.13,0.616,-0.054,-0.939,0.199,0.022,0.28,0.068,2.209,-0.237,-0.003,1.0,-0.022,-0.001
0.135,0.608,-0.015,-0.814,-0.124,0.011,0.568,-0.153,0.635,-0.151,-0.866,0.203,0.041,0.456,0.08,2.217,-0.222,0.0,1.0,-0.024,0.0
0.134,0.607,-0.014,-0.812,-0.127,0.011,0.57,-0.194,0.664,-0.301,-0.759,0.227,0.011,0.61,0.094,2.229,-0.207,0.004,0.999,-0.007,0.031
0.134,0.607,-0.015,-0.813,-0.126,0.012,0.569,-0.124,0.659,-0.306,-0.743,0.072,-0.144,0.649,0.095,2.232,-0.212,0.012,0.997,-0.001,0.076
0.133,0.606,-0.015,-0.814,-0.123,0.013,0.568,-0.088,0.636,-0.218,-0.766,0.033,-0.151,0.624,0.087,2.234,-0.222,0.006,0.991,0.003,0.136
0.134,0.607,-0.014,-0.815,-0.122,0.013,0.567,-0.077,0.619,-0.135,-0.792,0.035,-0.167,0.586,0.073,2.232,-0.234,0.0,0.983,0.006,0.184
0.134,0.608,-0.015,-0.816,-0.122,0.013,0.565,-0.092,0.613,-0.068,-0.815,0.07,-0.113,0.564,0.048,2.227,-0.25,-0.007,0.971,-0.001,0.238
0.134,0.61,-0.014,-0.819,-0.126,0.011,0.559,-0.095,0.611,-0.073,-0.807,0.059,-0.108,0.577,0.03,2.229,-0.255,-0.018,0.959,0.003,0.283
0.136,0.61,-0.017,-0.828,-0.13,-0.003,0.545,-0.094,0.611,-0.077,-0.811,0.068,-0.111,0.57,0.01,2.224,-0.256,-0.041,0.943,-0.001,0.331
0.143,0.614,-0.021,-0.838,-0.145,-0.067,0.522,-0.094,0.61,-0.077,-0.811,0.068,-0.113,0.57,0.004,2.222,-0.253,-0.051,0.924,-0.011,0.38
0.176,0.625,-0.049,-0.857,-0.161,-0.145,0.467,-0.094,0.608,-0.077,-0.814,0.07,-0.117,0.564,0.014,2.221,-0.248,-0.05,0.907,-0.033,0.417
0.276,0.649,-0.076,-0.74,-0.335,-0.212,0.543,-0.093,0.608,-0.078,-0.814,0.071,-0.118,0.564,0.036,2.225,-0.247,-0.045,0.901,-0.021,0.431
0.327,0.655,-0.074,-0.695,-0.417,-0.262,0.524,-0.092,0.607,-0.078,-0.813,0.075,-0.118,0.565,0.072,2.221,-0.245,-0.035,0.895,-0.028,0.445
0.284,0.638,-0.037,-0.737,-0.347,-0.258,0.52,-0.091,0.607,-0.078,-0.812,0.078,-0.117,0.567,0.133,2.208,-0.242,-0.013,0.885,-0.063,0.462
0.22,0.622,0.033,-0.73,-0.36,-0.298,0.498,-0.092,0.608,-0.079,-0.812,0.079,-0.117,0.566,0.191,2.19,-0.23,0.018,0.87,-0.105,0.481
0.161,0.615,0.082,-0.74,-0.352,-0.312,0.482,-0.091,0.609,-0.078,-0.813,0.079,-0.118,0.565,0.24,2.177,-0.21,0.035,0.854,-0.133,0.501
0.124,0.611,0.114,-0.731,-0.37,-0.337,0.464,-0.091,0.61,-0.078,-0.812,0.081,-0.121,0.565,0.293,2.154,-0.176,0.053,0.83,-0.182,0.524
0.125,0.609,0.113,-0.734,-0.367,-0.335,0.464,-0.086,0.611,-0.084,-0.841,0.104,-0.145,0.51,0.33,2.131,-0.141,0.071,0.807,-0.212,0.547
0.125,0.606,0.11,-0.733,-0.372,-0.334,0.461,-0.016,0.622,-0.12,-0.868,0.107,-0.281,0.394,0.356,2.118,-0.113,0.089,0.78,-0.246,0.569
0.126,0.608,0.11,-0.735,-0.37,-0.336,0.459,0.11,0.634,-0.185,-0.767,-0.09,-0.316,0.551,0.371,2.112,-0.095,0.107,0.755,-0.283,0.581
0.127,0.608,0.111,-0.733,-0.371,-0.335,0.461,0.191,0.658,-0.246,-0.686,-0.138,-0.304,0.646,0.38,2.102,-0.091,0.128,0.74,-0.299,0.588
0.127,0.608,0.111,-0.735,-0.369,-0.334,0.46,0.212,0.653,-0.245,-0.672,-0.183,-0.357,0.623,0.385,2.087,-0.101,0.143,0.729,-0.323,0.586
0.127,0.608,0.11,-0.737,-0.368,-0.334,0.458,0.151,0.63,-0.214,-0.71,-0.15,-0.367,0.582,0.382,2.075,-0.114,0.156,0.709,-0.349,0.593
0.126,0.608,0.11,-0.738,-0.366,-0.334,0.458,0.09,0.62,-0.163,-0.707,-0.153,-0.398,0.564,0.374,2.069,-0.125,0.162,0.684,-0.359,0.615
0.126,0.608,0.11,-0.74,-0.364,-0.334,0.457,0.03,0.613,-0.109,-0.728,-0.134,-0.386,0.55,0.357,2.062,-0.135,0.168,0.653,-0.372,0.639
0.126,0.608,0.11,-0.739,-0.366,-0.335,0.455,-0.016,0.609,-0.058,-0.74,-0.132,-0.381,0.539,0.329,2.059,-0.149,0.167,0.641,-0.374,0.649
0.126,0.608,0.108,-0.744,-0.364,-0.34,0.446,-0.025,0.608,-0.051,-0.753,-0.115,-0.371,0.532,0.297,2.057,-0.157,0.171,0.625,-0.372,0.665
0.131,0.613,0.106,-0.758,-0.347,-0.378,0.403,-0.025,0.604,-0.055,-0.752,-0.121,-0.367,0.534,0.27,2.064,-0.162,0.172,0.618,-0.357,0.678
0.197,0.638,0.082,-0.729,-0.395,-0.412,0.378,-0.024,0.604,-0.055,-0.752,-0.121,-0.367,0.533,0.251,2.088,-0.169,0.161,0.643,-0.312,0.681
0.297,0.652,0.044,-0.648,-0.471,-0.409,0.437,-0.024,0.604,-0.054,-0.752,-0.121,-0.367,0.534,0.242,2.112,-0.178,0.145,0.676,-0.276,0.668
0.328,0.649,0.007,-0.653,-0.446,-0.372,0.485,-0.024,0.604,-0.054,-0.751,-0.117,-0.368,0.536,0.251,2.122,-0.175,0.136,0.696,-0.241,0.663
0.286,0.636,0.035,-0.663,-0.431,-0.401,0.462,-0.024,0.604,-0.053,-0.75,-0.115,-0.367,0.538,0.268,2.135,-0.167,0.128,0.728,-0.206,0.642
0.189,0.619,0.082,-0.674,-0.413,-0.422,0.444,-0.023,0.604,-0.053,-0.752,-0.115,-0.369,0.534,0.278,2.153,-0.153,0.114,0.762,-0.166,0.615
0.1,0.612,0.118,-0.696,-0.407,-0.411,0.424,-0.022,0.605,-0.053,-0.752,-0.115,-0.369,0.534,0.287,2.166,-0.129,0.093,0.786,-0.138,0.595
0.062,0.612,0.139,-0.692,-0.405,-0.423,0.422,-0.022,0.605,-0.054,-0.753,-0.115,-0.37,0.532,0.296,2.172,-0.102,0.085,0.808,-0.116,0.571
0.066,0.611,0.139,-0.692,-0.408,-0.419,0.423,-0.019,0.608,-0.058,-0.775,-0.1,-0.378,0.496,0.302,2.176,-0.076,0.085,0.826,-0.103,0.548
0.061,0.604,0.135,-0.695,-0.41,-0.418,0.417,0.006,0.612,-0.081,-0.816,-0.019,-0.432,0.384,0.299,2.181,-0.062,0.081,0.848,-0.094,0.515
0.062,0.605,0.136,-0.696,-0.41,-0.419,0.415,0.094,0.623,-0.14,-0.746,-0.068,-0.42,0.512,0.288,2.193,-0.062,0.072,0.876,-0.081,0.471
0.063,0.604,0.136,-0.697,-0.412,-0.414,0.416,0.202,0.634,-0.221,-0.707,-0.163,-0.342,0.597,0.274,2.198,-0.075,0.054,0.906,-0.073,0.413
0.062,0.605,0.135,-0.699,-0.409,-0.415,0.415,0.2,0.639,-0.218,-0.719,-0.164,-0.373,0.563,0.266,2.199,-0.098,0.055,0.923,-0.069,0.376
0.061,0.604,0.135,-0.699,-0.408,-0.414,0.417,0.186,0.641,-0.211,-0.676,-0.193,-0.403,0.586,0.266,2.202,-0.121,0.049,0.919,-0.061,0.385
0.062,0.605,0.134,-0.702,-0.407,-0.412,0.415,0.116,0.624,-0.171,-0.708,-0.152,-0.4,0.562,0.262,2.198,-0.155,0.038,0.913,-0.069,0.401
0.062,0.605,0.134,-0.705,-0.401,-0.411,0.416,0.038,0.612,-0.103,-0.737,-0.122,-0.365,0.556,0.252,2.186,-0.184,0.035,0.902,-0.102,0.419
0.061,0.605,0.133,-0.711,-0.393,-0.405,0.419,-0.022,0.608,-0.052,-0.778,-0.072,-0.308,0.543,0.237,2.166,-0.213,0.041,0.892,-0.14,0.427
0.059,0.606,0.133,-0.74,-0.361,-0.387,0.415,-0.028,0.606,-0.046,-0.781,-0.064,-0.3,0.544,0.219,2.14,-0.236,0.053,0.888,-0.166,0.426
0.077,0.609,0.124,-0.833,-0.249,-0.412,0.274,-0.028,0.605,-0.047,-0.773,-0.07,-0.294,0.558,0.212,2.121,-0.257,0.051,0.885,-0.178,0.428
0.176,0.632,0.057,-0.794,-0.329,-0.381,0.34,-0.027,0.605,-0.048,-0.775,-0.071,-0.294,0.555,0.218,2.108,-0.27,0.052,0.877,-0.205,0.431
0.302,0.643,-0.051,-0.687,-0.405,-0.349,0.491,-0.028,0.606,-0.047,-0.774,-0.072,-0.293,0.557,0.234,2.102,-0.279,0.04,0.87,-0.206,0.447
0.356,0.654,-0.134,-0.703,-0.36,-0.288,0.541,-0.028,0.606,-0.047,-0.772,-0.071,-0.292,0.56,0.261,2.089,-0.284,0.041,0.858,-0.217,0.464
0.328,0.644,-0.083,-0.682,-0.398,-0.339,0.511,-0.027,0.607,-0.048,-0.776,-0.071,-0.291,0.555,0.294,2.075,-0.28,0.062,0.845,-0.246,0.471
0.246,0.624,-0.028,-0.718,-0.366,-0.33,0.492,-0.027,0.606,-0.048,-0.777,-0.068,-0.294,0.553,0.334,2.065,-0.264,0.068,0.829,-0.256,0.492
0.167,0.613,0.043,-0.714,-0.363,-0.352,0.485,-0.028,0.606,-0.048,-0.779,-0.07,-0.294,0.549,0.373,2.054,-0.241,0.085,0.805,-0.244,0.534
0.078,0.605,0.111,-0.737,-0.369,-0.322,0.465,-0.027,0.606,-0.05,-0.779,-0.077,-0.293,0.549,0.398,2.038,-0.191,0.104,0.787,-0.257,0.551
0.081,0.603,0.108,-0.736,-0.357,-0.333,0.47,-0.022,0.608,-0.054,-0.811,-0.036,-0.302,0.5,0.403,2.031,-0.156,0.127,0.781,-0.276,0.545
0.082,0.601,0.104,-0.742,-0.352,-0.336,0.461,0.053,0.628,-0.121,-0.828,-0.011,-0.339,0.446,0.397,2.043,-0.143,0.128,0.785,-0.281,0.537
0.085,0.602,0.105,-0.742,-0.349,-0.334,0.465,0.191,0.635,-0.173,-0.729,-0.162,-0.38,0.546,0.39,2.059,-0.137,0.129,0.788,-0.287,0.53
0.085,0.602,0.106,-0.745,-0.346,-0.332,0.463,0.321,0.672,-0.197,-0.589,-0.273,-0.421,0.633,0.388,2.068,-0.138,0.12,0.785,-0.276,0.542
0.085,0.603,0.105,-0.747,-0.344,-0.333,0.462,0.291,0.65,-0.18,-0.648,-0.259,-0.444,0.562,0.387,2.082,-0.147,0.134,0.795,-0.257,0.533
0.085,0.604,0.105,-0.747,-0.344,-0.333,0.461,0.195,0.629,-0.151,-0.653,-0.22,-0.457,0.562,0.363,2.114,-0.154,0.115,0.813,-0.197,0.535
