e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z,c_r_w,speed
-0.162,0.622,0.12,0.006,-0.654,-0.756,0.015,0.193,0.623,0.137,0.221,0.587,0.769,0.121,-0.053,2.243,0.282,0.028,-0.031,-0.017,0.999,slow
-0.162,0.622,0.12,0.006,-0.655,-0.756,0.015,0.193,0.623,0.137,0.221,0.587,0.769,0.121,-0.053,2.242,0.286,0.03,-0.026,-0.016,0.999,slow
-0.162,0.622,0.12,0.006,-0.655,-0.756,0.015,0.193,0.623,0.137,0.221,0.587,0.769,0.121,-0.055,2.241,0.29,0.033,-0.028,-0.017,0.999,slow
-0.162,0.622,0.12,0.006,-0.655,-0.756,0.015,0.193,0.623,0.137,0.221,0.587,0.769,0.121,-0.055,2.24,0.293,0.037,-0.029,-0.017,0.999,slow
-0.162,0.622,0.12,0.006,-0.655,-0.756,0.014,0.193,0.623,0.137,0.222,0.587,0.769,0.123,-0.057,2.239,0.297,0.039,-0.03,-0.017,0.999,slow
-0.162,0.623,0.12,0.007,-0.656,-0.754,0.015,0.193,0.621,0.137,0.225,0.584,0.77,0.124,-0.064,2.239,0.303,0.038,-0.03,-0.014,0.999,slow
-0.162,0.624,0.119,0.006,-0.659,-0.752,0.014,0.194,0.621,0.137,0.226,0.581,0.772,0.124,-0.075,2.234,0.31,0.047,-0.026,-0.011,0.999,slow
-0.161,0.624,0.118,0.003,-0.665,-0.747,0.014,0.195,0.62,0.14,0.235,0.565,0.781,0.125,-0.095,2.221,0.323,0.049,-0.02,-0.009,0.999,slow
-0.161,0.624,0.117,-0.002,-0.67,-0.742,0.008,0.197,0.622,0.149,0.26,0.513,0.815,0.075,-0.103,2.208,0.339,0.049,-0.007,-0.002,0.999,slow
-0.161,0.624,0.118,-0.002,-0.668,-0.744,0.011,0.18,0.633,0.255,0.243,0.603,0.746,0.141,-0.101,2.2,0.369,0.071,-0.004,0.018,0.997,slow
-0.161,0.623,0.119,-0.004,-0.666,-0.746,0.007,0.169,0.642,0.314,0.189,0.626,0.74,0.156,-0.085,2.198,0.395,0.067,-0.012,0.011,0.998,slow
-0.16,0.623,0.118,-0.005,-0.664,-0.748,0.006,0.164,0.632,0.252,0.201,0.607,0.756,0.141,-0.053,2.192,0.417,0.074,-0.013,-0.001,0.997,slow
