e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z,c_r_w
-0.218,0.635,0.25,-0.127,0.587,0.77,0.215,0.158,0.63,0.288,-0.009,-0.57,-0.806,0.157,0.102,1.772,0.667,0.258,0.08,0.011,0.963
-0.219,0.635,0.249,-0.127,0.588,0.77,0.215,0.158,0.63,0.288,-0.009,-0.569,-0.806,0.159,0.115,1.794,0.663,0.245,0.09,-0.001,0.965
-0.218,0.635,0.249,-0.126,0.588,0.769,0.215,0.158,0.63,0.288,-0.009,-0.569,-0.806,0.161,0.125,1.814,0.658,0.232,0.089,-0.012,0.969
-0.218,0.636,0.249,-0.126,0.59,0.768,0.215,0.158,0.631,0.288,-0.01,-0.57,-0.805,0.162,0.129,1.826,0.654,0.225,0.094,-0.027,0.969
-0.219,0.636,0.249,-0.127,0.591,0.768,0.213,0.157,0.631,0.288,-0.009,-0.57,-0.805,0.164,0.128,1.841,0.646,0.219,0.093,-0.031,0.971
-0.219,0.636,0.249,-0.127,0.59,0.768,0.214,0.157,0.631,0.288,-0.01,-0.572,-0.804,0.164,0.125,1.853,0.641,0.212,0.089,-0.027,0.973
-0.219,0.636,0.249,-0.127,0.591,0.768,0.213,0.157,0.631,0.288,-0.011,-0.572,-0.803,0.164,0.121,1.863,0.635,0.206,0.088,-0.028,0.974
-0.218,0.636,0.249,-0.127,0.59,0.768,0.215,0.157,0.631,0.288,-0.011,-0.572,-0.803,0.165,0.115,1.873,0.632,0.196,0.076,-0.028,0.977
-0.218,0.636,0.249,-0.126,0.589,0.769,0.215,0.157,0.631,0.288,-0.011,-0.572,-0.803,0.165,0.111,1.879,0.633,0.194,0.066,-0.023,0.979
-0.218,0.636,0.249,-0.126,0.59,0.768,0.215,0.156,0.631,0.288,-0.01,-0.572,-0.803,0.168,0.11,1.884,0.635,0.191,0.061,-0.027,0.979
-0.218,0.636,0.249,-0.125,0.59,0.768,0.215,0.156,0.63,0.288,-0.009,-0.571,-0.802,0.171,0.107,1.889,0.635,0.189,0.057,-0.034,0.98
-0.218,0.636,0.249,-0.125,0.591,0.768,0.214,0.156,0.631,0.288,-0.009,-0.571,-0.802,0.172,0.102,1.893,0.633,0.186,0.053,-0.029,0.981
-0.218,0.636,0.249,-0.125,0.591,0.767,0.214,0.156,0.63,0.288,-0.009,-0.571,-0.802,0.173,0.101,1.896,0.628,0.185,0.051,-0.023,0.981
-0.218,0.636,0.249,-0.125,0.591,0.768,0.214,0.155,0.63,0.288,-0.009,-0.57,-0.803,0.174,0.107,1.901,0.623,0.18,0.06,-0.026,0.981
-0.218,0.636,0.249,-0.125,0.591,0.768,0.214,0.155,0.63,0.288,-0.008,-0.571,-0.802,0.176,0.118,1.905,0.618,0.174,0.068,-0.031,0.982
-0.218,0.636,0.249,-0.124,0.59,0.768,0.214,0.155,0.63,0.288,-0.008,-0.571,-0.802,0.176,0.133,1.903,0.614,0.171,0.078,-0.035,0.981
-0.217,0.637,0.248,-0.123,0.591,0.768,0.213,0.155,0.63,0.288,-0.008,-0.571,-0.801,0.178,0.152,1.898,0.61,0.171,0.098,-0.045,0.979
