e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z,c_r_w
-0.105,0.657,0.396,0.018,0.632,0.761,0.148,0.098,0.605,0.046,-0.039,-0.554,-0.822,0.127,0.091,2.211,0.359,-0.041,-0.012,-0.017,0.999
-0.127,0.642,0.327,-0.002,0.611,0.775,0.16,0.097,0.605,0.047,-0.038,-0.55,-0.825,0.128,0.052,2.209,0.381,-0.033,-0.013,-0.003,0.999
-0.126,0.621,0.204,0.008,0.593,0.797,0.11,0.098,0.605,0.048,-0.036,-0.548,-0.826,0.13,0.013,2.209,0.388,-0.034,-0.007,0.002,0.999
-0.125,0.611,0.084,0.018,0.565,0.816,0.123,0.097,0.603,0.048,-0.036,-0.544,-0.828,0.132,-0.024,2.201,0.385,-0.013,-0.001,0.007,1.0
-0.121,0.608,0.004,-0.006,0.571,0.807,0.15,0.102,0.602,0.049,-0.058,-0.511,-0.846,0.145,-0.075,2.195,0.366,-0.024,0.006,0.01,1.0
-0.122,0.607,0.011,-0.005,0.545,0.827,0.138,0.11,0.605,0.066,-0.127,-0.266,-0.943,0.156,-0.11,2.196,0.354,-0.016,-0.002,0.029,0.999
-0.121,0.607,0.014,0.001,0.551,0.821,0.147,0.112,0.622,0.135,-0.108,-0.388,-0.9,0.164,-0.121,2.206,0.338,-0.009,-0.003,0.026,1.0
-0.12,0.606,0.014,0.003,0.554,0.819,0.149,0.097,0.625,0.285,0.03,-0.551,-0.833,0.049,-0.12,2.22,0.326,-0.033,-0.014,0.027,0.999
-0.12,0.605,0.015,0.003,0.552,0.821,0.147,0.065,0.633,0.329,-0.196,0.603,0.772,0.034,-0.11,2.219,0.331,-0.037,-0.035,0.033,0.998
-0.12,0.606,0.016,0.004,0.549,0.822,0.147,0.079,0.627,0.308,0.151,-0.605,-0.782,0.009,-0.096,2.221,0.342,-0.036,-0.057,0.033,0.997
-0.12,0.606,0.016,0.003,0.542,0.827,0.145,0.085,0.627,0.299,0.135,-0.598,-0.79,0.012,-0.085,2.223,0.346,-0.033,-0.099,0.033,0.994
-0.121,0.607,0.016,-0.002,0.538,0.83,0.149,0.088,0.628,0.299,0.13,-0.608,-0.783,0.015,-0.083,2.222,0.341,-0.02,-0.141,0.027,0.989
-0.131,0.611,0.015,-0.048,0.534,0.825,0.179,0.088,0.629,0.299,0.127,-0.612,-0.781,0.012,-0.093,2.22,0.325,-0.007,-0.196,0.03,0.98
-0.142,0.609,0.011,-0.143,0.51,0.811,0.248,0.087,0.629,0.299,0.129,-0.611,-0.781,0.016,-0.116,2.219,0.298,0.013,-0.264,0.03,0.964
-0.158,0.611,-0.001,-0.268,0.478,0.771,0.325,0.087,0.629,0.299,0.132,-0.607,-0.783,0.019,-0.14,2.223,0.263,0.018,-0.319,0.027,0.947
-0.166,0.612,-0.017,-0.376,0.435,0.717,0.394,0.086,0.628,0.299,0.135,-0.602,-0.787,0.022,-0.162,2.227,0.228,0.022,-0.359,0.025,0.933
-0.168,0.613,-0.025,-0.425,0.414,0.689,0.417,0.085,0.628,0.3,0.138,-0.603,-0.786,0.023,-0.187,2.231,0.197,0.017,-0.398,0.027,0.917
-0.169,0.612,-0.025,-0.419,0.419,0.691,0.414,0.082,0.63,0.297,0.148,-0.608,-0.779,0.026,-0.209,2.231,0.173,0.015,-0.436,0.023,0.9
-0.167,0.61,-0.025,-0.42,0.419,0.69,0.415,0.012,0.625,0.259,-0.277,0.584,0.757,0.093,-0.227,2.226,0.159,0.024,-0.473,0.021,0.88
-0.164,0.607,-0.024,-0.424,0.42,0.688,0.412,-0.059,0.618,0.136,-0.505,0.502,0.645,0.277,-0.235,2.22,0.156,0.042,-0.5,0.024,0.865
-0.16,0.605,-0.024,-0.427,0.423,0.687,0.409,-0.061,0.611,0.131,-0.496,0.492,0.668,0.256,-0.236,2.218,0.16,0.045,-0.534,0.03,0.844
-0.159,0.603,-0.025,-0.441,0.416,0.68,0.412,-0.059,0.607,0.133,-0.502,0.502,0.658,0.251,-0.233,2.213,0.171,0.064,-0.565,0.025,0.822
-0.167,0.607,-0.038,-0.528,0.361,0.638,0.429,-0.058,0.606,0.133,-0.503,0.504,0.656,0.25,-0.232,2.208,0.178,0.071,-0.595,0.017,0.801
-0.196,0.614,-0.053,-0.585,0.309,0.643,0.386,-0.058,0.605,0.134,-0.504,0.505,0.654,0.251,-0.236,2.207,0.179,0.078,-0.612,0.011,0.787
-0.275,0.642,-0.105,-0.526,0.326,0.573,0.537,-0.058,0.605,0.133,-0.504,0.505,0.655,0.248,-0.246,2.209,0.172,0.073,-0.626,0.001,0.776
-0.286,0.638,-0.12,-0.515,0.328,0.566,0.554,-0.059,0.604,0.133,-0.504,0.508,0.655,0.244,-0.263,2.208,0.16,0.072,-0.631,-0.008,0.772
-0.196,0.615,-0.105,-0.524,0.33,0.597,0.51,-0.06,0.604,0.132,-0.505,0.506,0.656,0.241,-0.281,2.208,0.134,0.079,-0.633,-0.003,0.77
-0.08,0.604,-0.092,-0.572,0.323,0.574,0.489,-0.06,0.604,0.133,-0.503,0.505,0.658,0.243,-0.287,2.208,0.102,0.084,-0.634,-0.006,0.768
-0.003,0.602,-0.075,-0.566,0.302,0.586,0.494,-0.06,0.605,0.133,-0.502,0.501,0.661,0.245,-0.288,2.203,0.069,0.085,-0.634,-0.007,0.769
0.005,0.606,-0.075,-0.606,0.284,0.585,0.459,-0.063,0.606,0.133,-0.523,0.478,0.672,0.216,-0.288,2.193,0.037,0.095,-0.62,0.002,0.779
0.008,0.604,-0.076,-0.582,0.301,0.573,0.492,-0.089,0.612,0.133,-0.579,0.397,0.701,0.126,-0.277,2.179,0.028,0.137,-0.575,0.039,0.806
0.007,0.604,-0.076,-0.582,0.299,0.575,0.491,-0.184,0.634,0.112,-0.595,0.428,0.641,0.226,-0.262,2.173,0.038,0.172,-0.523,0.054,0.833
0.006,0.603,-0.076,-0.58,0.298,0.576,0.492,-0.332,0.659,0.1,-0.567,0.499,0.53,0.385,-0.238,2.154,0.065,0.225,-0.436,0.068,0.869
0.006,0.603,-0.077,-0.58,0.299,0.578,0.49,-0.419,0.687,0.103,-0.533,0.557,0.484,0.415,-0.236,2.129,0.086,0.277,-0.4,0.098,0.868
0.006,0.603,-0.077,-0.581,0.295,0.58,0.489,-0.409,0.666,0.104,-0.563,0.523,0.474,0.429,-0.253,2.107,0.102,0.317,-0.419,0.117,0.843
0.006,0.604,-0.077,-0.581,0.295,0.581,0.488,-0.318,0.638,0.119,-0.579,0.496,0.534,0.366,-0.28,2.091,0.115,0.345,-0.471,0.132,0.801
0.006,0.604,-0.077,-0.583,0.298,0.581,0.484,-0.205,0.621,0.111,-0.605,0.466,0.535,0.361,-0.306,2.084,0.126,0.359,-0.531,0.133,0.756
0.006,0.606,-0.077,-0.582,0.3,0.58,0.484,-0.108,0.612,0.108,-0.594,0.465,0.563,0.339,-0.327,2.083,0.131,0.349,-0.604,0.139,0.702
0.006,0.606,-0.077,-0.583,0.297,0.581,0.484,-0.04,0.607,0.104,-0.575,0.466,0.591,0.321,-0.337,2.09,0.125,0.307,-0.683,0.153,0.645
0.002,0.606,-0.079,-0.604,0.275,0.583,0.47,-0.044,0.606,0.105,-0.579,0.454,0.6,0.316,-0.333,2.1,0.122,0.252,-0.731,0.181,0.607
-0.019,0.607,-0.092,-0.695,0.156,0.613,0.343,-0.045,0.606,0.105,-0.575,0.462,0.595,0.319,-0.326,2.115,0.122,0.192,-0.761,0.191,0.59
-0.125,0.633,-0.131,-0.669,0.161,0.538,0.486,-0.046,0.606,0.105,-0.575,0.462,0.595,0.32,-0.328,2.133,0.123,0.148,-0.77,0.183,0.593
-0.245,0.649,-0.166,-0.635,0.238,0.47,0.565,-0.046,0.606,0.105,-0.574,0.462,0.595,0.321,-0.337,2.153,0.113,0.098,-0.785,0.146,0.595
-0.336,0.666,-0.19,-0.589,0.294,0.456,0.599,-0.046,0.606,0.105,-0.575,0.463,0.594,0.32,-0.35,2.177,0.086,0.033,-0.809,0.081,0.582
-0.325,0.656,-0.192,-0.59,0.294,0.466,0.59,-0.047,0.605,0.105,-0.577,0.462,0.595,0.316,-0.359,2.188,0.06,0.006,-0.805,0.067,0.59
-0.24,0.629,-0.164,-0.603,0.283,0.497,0.556,-0.047,0.604,0.105,-0.579,0.46,0.595,0.315,-0.365,2.202,0.023,-0.019,-0.792,0.042,0.609
-0.094,0.611,-0.126,-0.621,0.28,0.513,0.522,-0.048,0.604,0.105,-0.581,0.459,0.594,0.314,-0.352,2.211,-0.028,-0.034,-0.792,0.021,0.61
0.021,0.605,-0.09,-0.612,0.253,0.544,0.515,-0.048,0.604,0.105,-0.581,0.46,0.593,0.316,-0.329,2.211,-0.062,-0.025,-0.786,0.017,0.617
0.107,0.609,-0.068,-0.638,0.242,0.532,0.502,-0.048,0.604,0.105,-0.583,0.457,0.593,0.316,-0.303,2.208,-0.094,-0.017,-0.774,0.012,0.633
0.121,0.606,-0.065,-0.659,0.23,0.525,0.488,-0.055,0.606,0.105,-0.611,0.419,0.613,0.275,-0.279,2.199,-0.114,-0.014,-0.747,0.008,0.665
0.121,0.606,-0.065,-0.65,0.235,0.522,0.499,-0.121,0.618,0.102,-0.659,0.36,0.63,0.199,-0.271,2.2,-0.121,-0.009,-0.725,0.021,0.688
0.119,0.605,-0.065,-0.65,0.232,0.524,0.499,-0.252,0.625,0.078,-0.644,0.446,0.528,0.328,-0.269,2.208,-0.122,-0.018,-0.717,0.018,0.696
0.119,0.605,-0.065,-0.648,0.233,0.522,0.504,-0.386,0.658,0.072,-0.57,0.527,0.473,0.417,-0.279,2.207,-0.118,-0.031,-0.726,0.006,0.687
0.118,0.607,-0.066,-0.648,0.231,0.522,0.504,-0.355,0.644,0.079,-0.608,0.475,0.494,0.402,-0.308,2.203,-0.095,-0.03,-0.732,-0.002,0.681
0.118,0.605,-0.066,-0.651,0.233,0.525,0.497,-0.266,0.628,0.106,-0.589,0.476,0.542,0.364,-0.331,2.197,-0.053,-0.009,-0.721,0.0,0.692
0.117,0.605,-0.065,-0.648,0.236,0.532,0.491,-0.143,0.616,0.114,-0.579,0.479,0.577,0.32,-0.342,2.192,-0.008,0.007,-0.716,-0.01,0.698
0.118,0.605,-0.064,-0.642,0.242,0.541,0.487,-0.034,0.609,0.117,-0.555,0.472,0.615,0.303,-0.343,2.193,0.038,0.011,-0.706,-0.022,0.708
0.12,0.606,-0.059,-0.625,0.257,0.568,0.469,0.026,0.607,0.118,-0.533,0.483,0.64,0.27,-0.338,2.192,0.077,0.013,-0.709,-0.018,0.705
0.133,0.607,-0.052,-0.602,0.269,0.631,0.409,0.034,0.606,0.122,-0.519,0.489,0.655,0.25,-0.327,2.187,0.111,0.02,-0.71,-0.022,0.703
0.111,0.607,-0.055,-0.591,0.12,0.782,0.16,0.035,0.604,0.125,-0.517,0.492,0.652,0.256,-0.32,2.186,0.133,0.022,-0.704,-0.029,0.709
-0.119,0.616,-0.054,-0.526,0.252,0.7,0.412,0.034,0.605,0.125,-0.519,0.491,0.652,0.254,-0.329,2.19,0.142,0.022,-0.7,-0.027,0.714
