e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z,c_r_w
,,,0.006,-0.654,-0.756,0.015,,,,0.221,0.587,0.769,0.121,,,,,,,
0.0,0.0,0.0,0.006,-0.655,-0.756,0.015,0.0,0.0,0.0,0.221,0.587,0.769,0.121,0.0,-0.0009999999999998,0.004,0.0019999999999999,0.005,0.001,0.0
0.0,0.0,0.0,0.006,-0.655,-0.756,0.015,0.0,0.0,0.0,0.221,0.587,0.769,0.121,-0.002,-0.0009999999999998,0.004,0.003,-0.002,-0.001,0.0
0.0,0.0,0.0,0.006,-0.655,-0.756,0.015,0.0,0.0,0.0,0.221,0.587,0.769,0.121,0.0,-0.0009999999999998,0.003,0.0039999999999999,-0.001,0.0,0.0
0.0,0.0,0.0,0.006,-0.655,-0.756,0.014,0.0,0.0,0.0,0.222,0.587,0.769,0.123,-0.002,-0.0010000000000003,0.004,0.002,-0.0009999999999999,0.0,0.0
0.0,0.001,0.0,0.007,-0.656,-0.754,0.015,0.0,-0.002,0.0,0.225,0.584,0.77,0.124,-0.0069999999999999,0.0,0.006,-0.001,0.0,0.003,0.0
0.0,0.001,-0.001,0.006,-0.659,-0.752,0.014,0.001,0.0,0.0,0.226,0.581,0.772,0.124,-0.0109999999999999,-0.0049999999999998,0.007,0.009,0.004,0.003,0.0
0.001,0.0,-0.001,0.003,-0.665,-0.747,0.014,0.001,-0.001,0.003,0.235,0.565,0.781,0.125,-0.02,-0.0129999999999999,0.013,0.002,0.0059999999999999,0.002,0.0
0.0,0.0,-0.0009999999999999,-0.002,-0.67,-0.742,0.008,0.002,0.002,0.0089999999999999,0.26,0.513,0.815,0.075,-0.0079999999999999,-0.0129999999999999,0.016,0.0,0.013,0.0069999999999999,0.0
0.0,0.0,0.0009999999999999,-0.002,-0.668,-0.744,0.011,-0.017,0.011,0.106,0.243,0.603,0.746,0.141,0.0019999999999999,-0.008,0.0299999999999999,0.0219999999999999,0.003,0.0199999999999999,-0.002
